============================================================
Ashes of Creation PCAP Organizer
============================================================
Root: C:\Users\daand\Documents\pcaps\PCAPRepo
redemptive\redemptive_deliverance_50_hp.pcap -> combat_pve\redemptive_deliverance_50_hp.pcap
redemptive\redemptive_deliverance_50_hp_1.pcap -> combat_pve\redemptive_deliverance_50_hp_1.pcap
refreshing\refreshing_followtrough.pcap -> combat_pve\refreshing_followtrough.pcap
reprieve\reprieve_training_i.pcap -> combat_pve\reprieve_training_i.pcap
reprieve\reprieve_training_ii.pcap -> combat_pve\reprieve_training_ii.pcap
resplendent\resplendent_beam_3_targets.pcap -> combat_pve\resplendent_beam_3_targets.pcap
resplendent\resplendent_beam_3_targets_1.pcap -> combat_pve\resplendent_beam_3_targets_1.pcap
restorive\restorive_consecrating_wave.pcap -> combat_pve\restorive_consecrating_wave.pcap
rusty\rusty_daggers.pcap -> economy\rusty_daggers.pcap
rusty\rusty_daggers_1.pcap -> economy\rusty_daggers_1.pcap
rusty\rusty_greatsword.pcap -> economy\rusty_greatsword.pcap
rusty\rusty_greatsword_1.pcap -> economy\rusty_greatsword_1.pcap
rusty\rusty_great_mace.pcap -> economy\rusty_great_mace.pcap
rusty\rusty_great_mace_1.pcap -> economy\rusty_great_mace_1.pcap
rusty\rusty_mace.pcap -> economy\rusty_mace.pcap
rusty\rusty_mace_1.pcap -> economy\rusty_mace_1.pcap
rusty\rusty_rapier.pcap -> economy\rusty_rapier.pcap
rusty\rusty_rapier_1.pcap -> economy\rusty_rapier_1.pcap
rusty\rusty_scepter.pcap -> economy\rusty_scepter.pcap
rusty\rusty_scepter_1.pcap -> economy\rusty_scepter_1.pcap
rusty\rusty_shield.pcap -> economy\rusty_shield.pcap
rusty\rusty_shield_1.pcap -> economy\rusty_shield_1.pcap
rusty\rusty_sword.pcap -> economy\rusty_sword.pcap
rusty\rusty_sword_1.pcap -> economy\rusty_sword_1.pcap
second\second_wind_outofcombat.pcap -> generic\movement\second_wind_outofcombat.pcap
soothing\soothing_glow.pcap -> combat_pve\soothing_glow.pcap
soothing\soothing_glow_1.pcap -> combat_pve\soothing_glow_1.pcap
splintered\splintered_longbow.pcap -> economy\splintered_longbow.pcap
splintered\splintered_longbow_1.pcap -> economy\splintered_longbow_1.pcap
splintered\splintered_shortbow.pcap -> economy\splintered_shortbow.pcap
splintered\splintered_shortbow_1.pcap -> economy\splintered_shortbow_1.pcap
unyielding\unyielding_wings_of_salvation.pcap -> combat_pve\unyielding_wings_of_salvation.pcap
warped\warped_wand.pcap -> economy\warped_wand.pcap
warped\warped_wand_1.pcap -> economy\warped_wand_1.pcap
wings\wings_of_salvation.pcap -> combat_pve\wings_of_salvation.pcap

DRY RUN: moved=142 skipped=1717 unsortable=0
